id,lng,lat
233,117.694277,36.220173
234,117.694488,36.220694
235,117.691272,36.229581
236,117.694413,36.220366
237,117.694443,36.220599
238,117.694416,36.22049
239,117.927465,36.595797
240,117.975046,36.652031
241,117.971983,36.653172
242,117.956204,36.65612
243,117.968563,36.650316
244,117.96432,36.66061
245,117.968361,36.649642
246,117.74667,36.899459
247,117.738532,36.889456
248,117.717269,36.899993
249,117.746274,36.888348
250,117.781608,36.890285
251,117.738493,36.87192
252,117.778723,36.891694
253,117.781289,36.889702
254,117.760003,36.897212
255,117.781228,36.889617
256,117.781236,36.889619
257,117.781471,36.889884
258,117.748197,36.867418
259,117.781595,36.890223
260,117.781583,36.890976
261,117.781291,36.891349
262,117.744461,36.89146
263,117.78199,36.890366
264,117.781309,36.889677
265,117.838763,37.174602
266,117.974339,37.379288
267,117.959079,37.395314
268,117.897658,37.417419
269,117.961147,37.37511
